,East Hampton,South Hampton,Sagaponack,Amagansett,Bridgehampton,Water Mill,Sag Harbor,Westhampton Beach,Greenport
1996-04-30,,,,190700.0,,,,,
1996-05-31,,,,181800.0,,,,,
1996-06-30,,,,176800.0,,,,,
1996-07-31,,,,173100.0,,,,,
1996-08-31,,,,168200.0,,,,,
1996-09-30,,,,163200.0,,,,,
1996-10-31,,,,160300.0,,,,,
1996-11-30,,,,159500.0,,,,,
1996-12-31,,,,159300.0,,,,,
1997-01-31,,,,220800.0,,,,,
1997-02-28,,,,216500.0,,,,,
1997-03-31,,,,214900.0,,,,,
1997-04-30,,,,217700.0,,,,,
1997-05-31,,,,218800.0,,,,,
1997-06-30,,,,214800.0,,,,,
1997-07-31,,,,209100.0,,,,,
1997-08-31,,,,204900.0,,,,,
1997-09-30,,,,202800.0,,,,,
1997-10-31,,,,203600.0,,,,,
1997-11-30,,,,204600.0,,,,,
1997-12-31,,,,205200.0,,,,,
1998-01-31,,,,207200.0,,,,,
1998-02-28,,,,210000.0,,,,,
1998-03-31,,,,211200.0,,,,,
1998-04-30,,,,210700.0,,,,,
1998-05-31,,,,211900.0,,,,,
1998-06-30,,,,214700.0,,,,,
1998-07-31,,,,216900.0,,,,,
1998-08-31,,,,216700.0,,,,,
1998-09-30,,,,215100.0,,,,,
1998-10-31,,,,214500.0,,,,,
1998-11-30,,,,215400.0,,,,,
1998-12-31,,,,216300.0,,,,,
1999-01-31,,,,216300.0,,,,,
1999-02-28,,,,216100.0,,,,,
1999-03-31,,,,216300.0,,,,,
1999-04-30,,,,218100.0,,,,,
1999-05-31,,,,219900.0,,,,,
1999-06-30,,,,219800.0,,,,,
1999-07-31,,,,220600.0,,,,,
1999-08-31,,,,223400.0,,,,,
1999-09-30,,,,226900.0,,,,,
1999-10-31,,,,229700.0,,,,,
1999-11-30,,,,231500.0,,,,,
1999-12-31,,,,234000.0,,,,,
2000-01-31,,,,239300.0,,,,,
2000-02-29,,,,246200.0,,,,,
2000-03-31,,,,254500.0,,,,,
2000-04-30,,,,261200.0,,,,,
2000-05-31,,,,265400.0,,,,,
2000-06-30,,,,271300.0,,,,,
2000-07-31,,,,281800.0,,,,,
2000-08-31,,,,289800.0,,,,,
2000-09-30,,,,291100.0,,,,,
2000-10-31,,,,288900.0,,,,,
2000-11-30,,,,287900.0,,,,,
2000-12-31,,,,292100.0,,,,,
2001-01-31,,,,298500.0,,,,,
2001-02-28,,,,304200.0,,,,,
2001-03-31,,,,304700.0,,,,,
2001-04-30,,,,302600.0,,,,,
2001-05-31,,,,305400.0,,,,,
2001-06-30,,,,316700.0,,,,,
2001-07-31,,,,327100.0,,,,,
2001-08-31,,,,334400.0,,,,,
2001-09-30,,,,341000.0,,,,,
2001-10-31,,,,345900.0,,,,,
2001-11-30,,,,350600.0,,,,,
2001-12-31,,,,350900.0,,,,,
2002-01-31,,,,347500.0,,,,,
2002-02-28,,,,346100.0,,,,,
2002-03-31,,,,350700.0,,,,,
2002-04-30,,,,357700.0,,,,,
2002-05-31,,,,363500.0,,,,,
2002-06-30,,,,366200.0,,,,,
2002-07-31,,,,370000.0,,,,,
2002-08-31,,,,374800.0,,,,,
2002-09-30,,,,382100.0,,,,,
2002-10-31,,,,392300.0,,,,,
2002-11-30,,,,403300.0,,,,,
2002-12-31,,,,411100.0,,,,,
2003-01-31,,,,417700.0,,,,,
2003-02-28,,,,426500.0,,,,,
2003-03-31,,,,435400.0,,,,,
2003-04-30,,,,437500.0,,,,,
2003-05-31,,,,438600.0,,,,,
2003-06-30,,,,441700.0,,,,,
2003-07-31,,,,442400.0,,,,,
2003-08-31,,,,444200.0,,,,,
2003-09-30,,,,453000.0,,,,,
2003-10-31,,,,465100.0,,,,,
2003-11-30,,,,474200.0,,,,,
2003-12-31,,,,482000.0,,,,,
2004-01-31,,,,488700.0,,,,,
2004-02-29,,,,492700.0,,,,,
2004-03-31,,,,500800.0,,,,,
2004-04-30,,,,520100.0,,,,,
2004-05-31,,,,535800.0,,,,,
2004-06-30,,,,540000.0,,,,,
2004-07-31,,,,545100.0,,,,,
2004-08-31,,,,557300.0,,,,,
2004-09-30,,,,571000.0,,,,,
2004-10-31,,,,579900.0,,,,,
2004-11-30,,,,590300.0,,,,,
2004-12-31,,,,605600.0,,,,,
2005-01-31,,,,618100.0,,,,,
2005-02-28,,,,625600.0,,,,,
2005-03-31,,,,627700.0,,,,,
2005-04-30,,,,623600.0,,,,,
2005-05-31,,,,621000.0,,,,,
2005-06-30,,,,631100.0,,,,,
2005-07-31,,,,641400.0,,,,,
2005-08-31,,,,647600.0,,,,,
2005-09-30,,,,648100.0,,,,,
2005-10-31,,,,649100.0,,,,,
2005-11-30,,,,649800.0,,,,,
2005-12-31,,,,649700.0,,,,,
2006-01-31,,,,653100.0,,,,,
2006-02-28,,,,661900.0,,,,,
2006-03-31,,,,666400.0,,,,,
2006-04-30,,,,667300.0,,,,,
2006-05-31,,,,670700.0,,,,,
2006-06-30,,,,670100.0,,,,,
2006-07-31,,,,669900.0,,,,,
2006-08-31,,,,673600.0,,,,,
2006-09-30,,,,679800.0,,,,,
2006-10-31,,,,684400.0,,,,,
2006-11-30,,,,684900.0,,,,,
2006-12-31,,,,684100.0,,,,,
2007-01-31,,,,689200.0,,,,,
2007-02-28,,,,694400.0,,,,,
2007-03-31,,,,698800.0,,,,,
2007-04-30,,,,704300.0,,,,,
2007-05-31,,,,702300.0,,,,,
2007-06-30,,,,695600.0,,,,,
